vehicle_model,mileage,maintenance_history,reported_issues,vehicle_age,fuel_type,transmission_type,engine_size,odometer_reading,last_service_date,warranty_expiry_date,owner_type,insurance_premium,service_history,accident_history,fuel_efficiency,tire_condition,brake_condition,battery_status,need_maintenance
Bus,30300,Good,1,5,Petrol,Manual,1500,116778,2024-01-30,2024-10-01,Second,29715,5,2,12.70173691,Good,Worn Out,Good,1
Van,45003,Good,5,6,Diesel,Manual,2000,39453,2024-02-08,2025-12-25,Third,19004,5,3,19.67479333,New,Worn Out,Weak,1
Suv,44048,Good,1,5,Petrol,Automatic,800,96439,2024-01-26,2025-08-03,Third,18064,6,3,11.61295836,New,New,New,0
Van,41311,Average,4,7,Diesel,Automatic,1000,121837,2023-08-03,2025-08-30,First,24457,8,2,17.39581536,New,New,New,1
Truck,54877,Poor,4,3,Petrol,Manual,800,139629,2023-08-24,2024-07-12,Third,5603,8,2,16.48964228,Worn Out,Worn Out,Weak,1
Motorcycle,61804,Good,3,7,Electric,Automatic,1000,66250,2023-04-16,2025-03-02,Second,29639,7,3,13.24197353,New,New,New,0
Car,45705,Good,3,1,Petrol,Manual,1500,45101,2024-01-27,2025-08-05,Third,10935,7,2,15.05699952,Good,Good,New,0
Motorcycle,58397,Poor,5,4,Electric,Manual,1500,135686,2023-11-19,2025-02-07,Second,26578,5,1,13.69917372,New,Worn Out,Weak,1
Truck,74248,Average,0,5,Diesel,Automatic,800,87307,2023-10-26,2025-05-04,Third,10972,4,3,18.46745398,Worn Out,New,New,0
Car,61064,Good,4,6,Electric,Automatic,800,53061,2024-01-16,2025-07-27,Second,23413,2,2,16.70371715,Worn Out,New,New,1
Bus,33894,Average,0,10,Petrol,Automatic,2500,45120,2023-04-28,2025-04-06,Second,27398,10,0,16.61493833,Good,Worn Out,Good,1
Motorcycle,46794,Poor,5,5,Petrol,Automatic,1000,112668,2023-05-30,2025-07-28,First,7517,6,2,11.35423368,Worn Out,Good,New,1
Suv,38301,Good,5,8,Diesel,Manual,1000,88330,2023-05-30,2026-01-19,Second,12286,8,3,17.24628279,Worn Out,New,Good,1
Van,53210,Poor,4,10,Petrol,Manual,800,133663,2023-11-16,2025-03-27,Second,6828,1,3,15.17991817,Good,Worn Out,New,1
Motorcycle,64450,Good,4,7,Electric,Automatic,2000,107222,2023-12-08,2024-09-12,Third,17302,8,0,14.62388558,Worn Out,Worn Out,New,1
Car,50317,Average,0,4,Electric,Manual,800,41952,2023-07-08,2026-03-29,First,28125,5,0,15.27694356,Worn Out,Worn Out,Good,1
Car,58001,Good,3,6,Petrol,Automatic,1000,142240,2023-06-01,2025-07-27,Third,25873,4,0,19.30418096,New,Worn Out,Weak,1
Truck,74428,Average,0,9,Diesel,Automatic,800,100389,2023-09-04,2025-06-26,First,23122,6,2,18.0225598,New,Worn Out,New,1
Car,76060,Good,1,1,Petrol,Automatic,2000,125256,2023-12-04,2025-07-13,Third,21215,10,2,14.68524705,Good,Worn Out,Weak,1
Suv,67559,Average,5,7,Electric,Manual,800,32061,2023-08-16,2025-06-15,Second,13947,5,0,12.32705411,Worn Out,Good,New,1
Van,69209,Poor,3,9,Petrol,Automatic,800,86550,2023-04-20,2025-12-05,First,27503,7,1,10.22382589,Good,Worn Out,Weak,1
Bus,52773,Poor,3,7,Diesel,Manual,2500,128835,2023-07-13,2025-05-29,Third,13661,7,3,13.92811238,Worn Out,Worn Out,Good,1
Motorcycle,43323,Good,5,8,Electric,Automatic,2500,100316,2023-12-30,2024-09-27,First,6067,7,1,17.91074261,Worn Out,Worn Out,New,1
Truck,73123,Good,1,1,Petrol,Manual,2500,13860,2023-05-19,2025-10-22,Second,11363,2,1,14.0884598,New,Worn Out,Weak,1
Car,57548,Poor,5,9,Petrol,Manual,2000,113526,2023-04-20,2024-09-20,Third,17089,8,0,15.47519321,New,New,Good,1
Truck,49419,Good,3,9,Electric,Automatic,800,6236,2023-07-01,2025-08-06,First,9936,5,3,17.76623896,Worn Out,New,Good,0
Bus,57731,Average,4,10,Electric,Manual,1000,144247,2024-02-19,2025-05-29,First,6072,7,0,14.61508813,Good,New,Weak,1
Suv,66527,Average,4,7,Diesel,Automatic,1500,61449,2023-06-16,2026-03-18,Third,17710,9,0,16.15920259,Good,Good,Good,1
Suv,56901,Average,2,2,Petrol,Manual,2500,21880,2023-07-12,2025-01-04,Second,28628,10,2,12.61134239,New,New,New,1
Van,73297,Average,5,5,Petrol,Manual,800,116766,2023-12-27,2025-12-01,Second,17507,5,3,19.44688902,Worn Out,New,Good,1
Motorcycle,40233,Good,3,4,Electric,Manual,1500,15402,2023-04-20,2025-03-12,Second,12516,5,1,15.66609002,Worn Out,Worn Out,Weak,1
Car,31790,Poor,4,1,Electric,Automatic,1500,102249,2023-06-09,2025-11-02,First,12906,3,2,12.96406117,Worn Out,New,Weak,1
Motorcycle,61072,Poor,0,3,Petrol,Automatic,2000,4958,2023-08-24,2024-11-14,Second,9509,8,1,12.14325569,Worn Out,Worn Out,Good,1
Bus,59635,Good,1,8,Petrol,Automatic,800,88486,2023-08-30,2025-07-21,First,19883,4,2,11.22937675,Good,Good,Good,0
Van,59952,Average,3,5,Petrol,Automatic,1500,141633,2023-09-07,2025-01-06,First,23739,4,3,19.73927818,Worn Out,Worn Out,New,1
Van,63216,Average,2,10,Electric,Automatic,1000,11274,2024-02-14,2024-11-28,Third,15071,1,3,17.74261249,Worn Out,New,Good,0
Motorcycle,75255,Good,4,10,Electric,Automatic,2000,47964,2023-05-18,2025-09-12,Third,28690,10,1,11.03941185,New,Worn Out,Weak,1
Suv,59640,Good,3,9,Diesel,Manual,1500,128941,2023-08-04,2025-01-12,Third,23377,3,1,16.19614603,Worn Out,Worn Out,Weak,1
Suv,38552,Average,3,9,Diesel,Manual,1500,103632,2023-06-02,2024-12-02,First,24290,3,0,14.90990969,New,New,New,1
Bus,36425,Average,3,4,Diesel,Manual,2000,2311,2024-02-23,2025-06-13,Third,23217,3,2,13.43872616,Good,New,New,1
Truck,39008,Average,3,7,Petrol,Automatic,2500,132010,2023-12-09,2026-03-05,First,8223,3,2,18.98206466,Worn Out,Worn Out,Weak,1
Car,76996,Poor,1,6,Electric,Automatic,800,137001,2023-05-26,2025-10-01,Third,11371,8,3,10.45981902,New,New,New,1
Motorcycle,65323,Average,1,8,Electric,Manual,2000,72036,2023-06-05,2025-11-21,Third,22431,7,1,15.14370825,New,New,Weak,1
Truck,60457,Poor,3,9,Diesel,Manual,1500,52547,2024-01-23,2024-09-04,First,13268,5,1,17.94479198,New,Good,New,1
Truck,73396,Good,1,3,Petrol,Automatic,2500,73988,2023-08-10,2024-08-09,First,23412,8,1,11.65827701,Worn Out,New,Good,0
Truck,74973,Poor,4,10,Diesel,Manual,2500,103197,2023-06-12,2025-06-05,Third,26748,7,1,17.59848895,Good,Worn Out,Good,1
Suv,57385,Good,1,10,Diesel,Manual,800,71478,2023-11-22,2026-02-20,Second,7381,8,0,11.91010445,New,Good,New,0
Car,64076,Poor,2,10,Diesel,Manual,2500,103430,2023-07-24,2025-08-05,Second,22608,9,0,12.49292001,Good,Good,Good,1
Van,68400,Good,3,10,Diesel,Manual,2500,92798,2023-10-26,2025-02-02,Third,26942,10,1,19.46266089,Good,Worn Out,New,1
Truck,57639,Average,0,4,Electric,Automatic,2500,1037,2023-04-26,2024-06-03,First,9120,4,3,19.12964997,Worn Out,Worn Out,Weak,1
Van,55578,Poor,5,8,Electric,Automatic,2500,52817,2023-10-15,2024-09-20,First,21863,10,0,11.26886737,New,Good,Weak,1
Truck,63334,Average,3,10,Petrol,Manual,800,48814,2024-02-10,2025-10-06,Second,11033,8,1,17.04500385,Good,New,New,1
Suv,57757,Poor,5,1,Diesel,Manual,1500,13730,2023-11-01,2025-10-24,First,28379,10,2,12.6091701,Good,New,New,1
Truck,30531,Poor,5,2,Petrol,Manual,1000,29461,2024-01-01,2025-12-08,Second,17445,10,0,17.04729717,Good,Good,Good,1
Truck,58773,Poor,1,2,Diesel,Automatic,800,139937,2023-06-13,2025-07-03,Second,9150,9,3,18.57101272,Good,Good,New,1
Car,78406,Good,4,3,Petrol,Manual,2000,137291,2024-01-20,2025-12-11,Second,29614,1,0,10.18933007,New,New,New,1
Van,36786,Poor,5,5,Petrol,Automatic,800,138236,2023-12-13,2024-06-17,Third,19909,7,3,19.80885149,Worn Out,Worn Out,Good,1
Motorcycle,66564,Poor,1,6,Electric,Manual,1500,126228,2023-10-12,2024-07-12,First,11473,4,0,16.91460591,Worn Out,New,New,0
Van,67630,Good,0,4,Diesel,Manual,2500,123309,2023-04-05,2026-01-28,First,23926,3,3,17.66744544,Worn Out,New,Weak,1
Car,42771,Good,3,4,Petrol,Manual,2500,140229,2024-02-06,2024-12-21,Second,27138,7,1,12.84737783,Worn Out,Worn Out,Good,1
Motorcycle,33549,Good,5,1,Diesel,Manual,800,78334,2024-02-13,2025-03-06,First,10518,8,0,10.37930676,Worn Out,Good,Weak,1
Car,55929,Good,2,2,Electric,Automatic,1000,53624,2023-11-20,2025-06-30,Third,7641,9,1,16.24403775,Good,New,Good,0
Van,70819,Good,0,7,Diesel,Automatic,800,106172,2023-11-21,2024-05-17,First,21180,7,0,15.85219595,Worn Out,Worn Out,New,1
Suv,62771,Poor,2,1,Petrol,Automatic,800,141183,2023-05-27,2026-03-04,Second,21647,8,0,19.67122223,Good,New,Good,1
Suv,46877,Average,1,6,Petrol,Manual,800,142831,2023-04-22,2026-01-15,First,14845,8,0,17.03907895,Worn Out,Good,Weak,1
Bus,66415,Poor,2,3,Electric,Manual,2500,119803,2023-04-29,2025-07-20,Second,17187,10,3,18.86495933,Worn Out,New,New,1
Truck,45873,Poor,4,10,Electric,Manual,1500,19525,2023-12-10,2026-01-30,Second,14700,3,3,10.86182125,New,Worn Out,New,1
Van,36554,Poor,0,6,Electric,Manual,800,88316,2024-02-11,2026-01-19,Third,5192,6,0,12.07471526,New,New,Good,0
Suv,60193,Poor,5,3,Diesel,Automatic,1500,31538,2023-09-04,2024-10-07,Third,24311,2,3,12.44991114,Worn Out,Worn Out,New,1
Car,36279,Average,4,4,Electric,Manual,1500,133212,2023-10-29,2025-03-24,First,8638,6,1,18.0336665,Worn Out,New,New,1
Motorcycle,66106,Poor,0,1,Electric,Automatic,1500,113849,2023-05-24,2024-12-06,First,25598,10,1,17.39539896,Worn Out,New,Good,0
Suv,57325,Poor,3,8,Petrol,Automatic,2000,100514,2023-11-17,2024-08-31,Second,27410,10,1,10.44886682,New,New,New,1
Suv,46830,Good,5,2,Petrol,Automatic,1500,117300,2023-05-22,2025-10-04,First,7994,5,3,18.70245559,Worn Out,Good,Good,1
Motorcycle,64511,Good,5,2,Petrol,Automatic,800,95054,2023-11-03,2024-08-14,Second,26198,10,0,10.15205648,New,New,New,1
Motorcycle,55096,Good,4,10,Electric,Manual,2000,78036,2023-11-14,2025-08-23,Second,7283,9,0,17.50375903,Good,New,Weak,1
Suv,47473,Poor,3,1,Electric,Manual,1000,104791,2023-08-04,2024-12-30,Second,24793,9,1,14.36633788,Good,New,Good,1
Truck,42051,Average,0,9,Diesel,Automatic,2000,71718,2023-12-25,2024-05-22,Third,22240,6,3,14.21176961,New,New,Weak,1
Bus,39199,Poor,2,2,Petrol,Manual,1500,77980,2023-12-17,2024-06-26,Third,25759,2,2,12.89588155,New,Worn Out,New,1
Motorcycle,49047,Average,0,7,Diesel,Automatic,2000,64618,2023-04-13,2024-07-21,Third,27934,6,0,18.60038578,Good,Good,Weak,1
Suv,53907,Good,3,3,Electric,Manual,800,64296,2023-04-11,2024-10-22,Second,5500,9,3,16.43428106,New,Good,Good,1
Motorcycle,34325,Good,4,3,Electric,Automatic,1000,37339,2023-04-21,2024-04-28,First,18574,8,2,11.32289352,New,Good,New,1
Suv,30107,Poor,1,1,Diesel,Automatic,1000,68491,2024-02-09,2024-08-19,Second,17982,1,2,12.11249967,Worn Out,Good,New,0
Suv,50375,Good,4,4,Diesel,Automatic,2000,2979,2023-12-18,2025-02-09,Third,20802,4,2,18.58358203,Worn Out,New,Good,1
Suv,37335,Poor,3,10,Electric,Automatic,800,103830,2023-08-30,2025-09-04,Second,20910,9,3,19.04290303,Good,Worn Out,Good,1
Van,71447,Good,4,6,Electric,Automatic,2000,123982,2023-06-10,2025-12-11,Second,22535,3,3,19.19392278,New,New,Good,1
Van,36284,Good,0,1,Petrol,Manual,1000,142045,2023-10-25,2026-01-16,Third,28063,4,1,15.70758904,New,New,Good,0
Truck,65243,Average,0,10,Electric,Manual,1000,47826,2023-08-28,2025-03-20,Third,20612,4,3,18.14060384,Good,New,Weak,1
Truck,35453,Average,5,10,Electric,Automatic,1000,97721,2023-10-08,2025-10-31,Third,23815,7,0,13.36280005,New,New,New,1
Bus,33230,Good,4,6,Electric,Automatic,1000,106664,2023-07-31,2025-10-19,First,13670,1,0,18.59246742,New,New,New,1
Suv,79766,Poor,0,3,Petrol,Manual,1000,74158,2023-09-04,2025-01-06,Third,7789,3,3,10.81140828,Worn Out,Good,Weak,1
Car,33519,Good,2,8,Diesel,Manual,2000,69368,2023-12-01,2025-07-25,Second,7407,7,2,18.60835681,New,New,New,0
Car,79763,Average,0,8,Diesel,Automatic,800,81144,2023-11-25,2024-10-04,First,10282,3,1,16.78911459,Good,New,New,0
Bus,43469,Average,0,9,Diesel,Manual,800,6086,2023-09-25,2025-09-07,First,25029,4,3,11.97243561,Worn Out,Worn Out,Weak,1
Suv,47071,Poor,0,5,Petrol,Automatic,2500,123154,2023-12-30,2026-01-19,Third,27208,9,1,14.26546583,Good,New,Good,0
Motorcycle,60763,Good,1,1,Diesel,Automatic,800,13811,2024-01-28,2025-05-21,Third,19861,7,0,12.45103158,Good,Good,New,0
Van,48986,Average,2,9,Diesel,Manual,2500,95433,2023-08-30,2024-12-09,First,23672,9,0,10.29364205,New,Good,New,0
Motorcycle,78743,Good,0,8,Electric,Manual,800,73657,2023-07-23,2025-07-28,Third,21331,5,2,18.00318194,New,Good,Good,0
Bus,49901,Average,5,8,Diesel,Automatic,800,44837,2023-04-09,2024-11-09,First,13253,8,2,15.03401722,Worn Out,Worn Out,Weak,1
Truck,61853,Poor,4,6,Petrol,Automatic,1000,67882,2023-11-22,2025-10-13,Third,28890,2,0,19.72133993,New,Worn Out,Weak,1
Van,57008,Good,4,5,Diesel,Automatic,1000,126754,2023-08-09,2024-12-24,Third,27483,2,2,18.04207388,Good,New,New,1
Truck,34954,Poor,0,4,Petrol,Automatic,1000,98677,2023-08-16,2025-05-05,First,16277,3,2,17.25371823,Good,Good,Weak,1
Car,58987,Average,0,3,Electric,Manual,2000,108077,2023-12-12,2024-09-27,Third,10699,4,3,14.04393735,Worn Out,Worn Out,New,1
Motorcycle,68799,Poor,2,2,Diesel,Automatic,1500,117309,2023-08-01,2024-08-12,Second,10557,9,1,11.16256483,New,New,New,1
Car,33844,Average,1,4,Diesel,Manual,800,26960,2023-08-02,2025-11-27,Second,9796,3,0,12.29722261,Worn Out,Worn Out,New,1
Car,40857,Good,3,6,Diesel,Automatic,1000,79085,2023-05-20,2024-07-22,Third,14387,5,3,15.59686143,New,Worn Out,Weak,1
Truck,66138,Good,4,8,Diesel,Manual,1000,142286,2023-11-29,2025-06-12,First,18732,3,2,13.43973408,New,Worn Out,Good,1
Bus,55775,Poor,2,5,Diesel,Automatic,2500,37678,2023-09-27,2025-01-14,Third,17326,8,2,15.27693977,Worn Out,Worn Out,Good,1
Van,67496,Poor,5,10,Diesel,Manual,2000,56026,2023-11-27,2025-03-25,Second,9277,4,1,18.96089968,New,New,New,1
Car,32725,Good,4,10,Diesel,Manual,1500,81731,2023-05-20,2024-06-12,Second,15316,2,3,12.91696968,Good,Worn Out,New,1
Truck,63803,Poor,0,2,Electric,Automatic,1000,58811,2023-06-08,2025-03-07,Second,25519,3,1,15.1050588,New,New,Weak,1
Van,62914,Good,2,5,Diesel,Automatic,2000,50499,2023-11-26,2024-08-11,First,16941,4,3,13.03531084,Worn Out,New,New,0
Car,37509,Average,5,8,Electric,Manual,800,102948,2023-05-25,2024-07-05,First,19650,7,1,11.10414321,Worn Out,Good,New,1
Bus,66267,Average,3,9,Petrol,Automatic,1500,51996,2023-06-22,2026-01-25,First,19755,10,3,16.99404057,Worn Out,Worn Out,New,1
Car,53593,Poor,0,3,Petrol,Automatic,1000,51590,2023-05-13,2024-10-31,Third,17955,4,0,11.30378906,Good,Good,New,0
Suv,51975,Average,5,1,Diesel,Automatic,2000,19776,2024-02-06,2026-03-25,Third,24751,2,2,19.57047162,New,Worn Out,Good,1
Suv,33998,Poor,1,3,Petrol,Automatic,1500,102131,2023-06-16,2025-05-10,First,8858,7,0,17.73060908,Worn Out,New,New,0
Van,57065,Good,5,5,Diesel,Manual,1500,131535,2023-09-05,2025-12-09,First,18559,6,2,11.53665519,New,Worn Out,Good,1
Truck,44242,Good,5,3,Diesel,Manual,2000,88338,2023-05-18,2025-11-09,First,18827,3,3,11.58087722,Good,Worn Out,New,1
Truck,59762,Average,1,5,Diesel,Manual,1500,49257,2024-01-26,2025-07-26,Third,24000,5,2,13.31625452,Worn Out,Good,New,0
Van,35230,Average,3,6,Electric,Automatic,1500,88616,2023-10-12,2024-10-01,Third,5925,3,1,10.03373451,Worn Out,Good,Weak,1
Truck,39707,Average,0,10,Diesel,Automatic,1000,56328,2023-12-22,2024-10-16,First,15171,10,1,17.63615063,New,Worn Out,Weak,1
Suv,70846,Poor,5,7,Petrol,Automatic,1500,89897,2023-04-16,2024-05-11,First,9292,10,2,17.22203062,New,New,Good,1
Van,69019,Good,4,9,Diesel,Manual,800,78805,2023-10-24,2025-07-21,Third,21989,8,3,13.43751277,New,Worn Out,Weak,1
Truck,48338,Good,1,6,Petrol,Manual,1000,82326,2023-07-23,2025-04-26,Third,6448,8,3,14.52020113,New,Good,New,1
Motorcycle,45783,Poor,0,5,Petrol,Manual,800,86047,2023-12-17,2024-06-18,Second,16305,4,3,15.09674672,Worn Out,Good,Good,0
Suv,30498,Good,2,10,Diesel,Automatic,1500,91177,2023-05-14,2024-12-21,Second,20165,3,2,17.61930982,Worn Out,Good,Good,0
Motorcycle,39266,Good,4,9,Electric,Manual,2000,107488,2023-11-27,2025-09-04,First,16383,8,2,19.37613172,Good,New,Weak,1
Van,57816,Poor,4,7,Electric,Automatic,2500,112866,2023-11-19,2024-06-09,First,18038,6,1,18.75298206,New,Worn Out,Good,1
Car,75965,Good,5,3,Diesel,Automatic,2500,86042,2023-05-01,2025-10-29,Second,25871,2,1,10.86595708,Worn Out,New,New,1
Suv,61851,Good,0,7,Petrol,Automatic,2000,87117,2023-09-03,2025-11-03,Third,15942,2,2,10.86905603,New,New,New,0
Van,47173,Average,1,10,Electric,Manual,1000,102999,2023-08-09,2025-02-11,Third,26136,10,1,16.37524615,Good,Good,Weak,1
Bus,64205,Poor,3,6,Petrol,Manual,2500,119784,2023-11-05,2025-07-04,First,23652,3,2,14.61700466,New,Good,New,1
Car,57211,Average,0,6,Diesel,Manual,1500,89087,2023-09-01,2024-05-19,Third,17059,7,3,16.67366946,New,New,New,0
Truck,54999,Good,2,2,Petrol,Manual,1500,117825,2023-08-11,2025-02-27,Third,19727,3,2,10.24645729,Worn Out,Worn Out,Good,1
Bus,38358,Good,4,6,Electric,Automatic,1500,124871,2023-04-14,2025-03-20,Second,19631,6,3,17.18621553,New,New,New,1
Truck,73130,Poor,3,9,Diesel,Automatic,800,126104,2024-01-20,2025-09-19,Second,29215,1,1,15.12014441,New,New,New,1
Suv,70706,Poor,2,9,Diesel,Manual,2500,13720,2023-09-21,2024-08-03,Third,15752,5,3,12.04742235,New,Good,Weak,1
Motorcycle,41630,Average,3,10,Petrol,Manual,2000,4746,2023-08-05,2026-01-15,Third,18221,1,1,10.57213896,Worn Out,Good,Good,1
Suv,61433,Poor,4,8,Petrol,Manual,800,147295,2024-02-09,2024-08-23,First,13950,3,2,17.62795289,Worn Out,Worn Out,New,1
Motorcycle,31084,Good,5,7,Electric,Automatic,2000,50306,2023-09-12,2025-08-31,Second,13819,2,3,16.04230067,Good,Worn Out,New,1
Car,76456,Good,4,5,Diesel,Automatic,800,6634,2023-11-06,2025-05-31,Third,10808,2,1,19.53099738,Good,Worn Out,Weak,1
Suv,32532,Poor,5,5,Petrol,Manual,1000,22864,2023-07-22,2024-11-16,Third,24744,7,1,18.43025478,Worn Out,New,New,1
Van,77270,Good,1,4,Electric,Manual,1500,19466,2023-06-03,2024-11-24,First,29761,4,0,15.22951499,Good,Worn Out,Good,1
Bus,40562,Poor,1,4,Diesel,Automatic,2000,5391,2023-10-28,2025-10-18,Second,27580,4,0,10.42260612,Good,New,Weak,1
Motorcycle,75308,Average,2,7,Petrol,Manual,800,57866,2023-10-09,2025-10-07,First,8608,5,0,13.73595846,New,Good,Weak,1
Motorcycle,53135,Good,5,2,Electric,Manual,2000,104637,2023-06-21,2024-07-11,First,9497,10,2,15.70774418,Worn Out,Worn Out,New,1
Van,43635,Good,1,6,Petrol,Manual,1000,32722,2023-08-28,2024-09-04,First,16087,6,2,13.28184287,Good,Good,Good,0
Truck,37862,Poor,4,10,Petrol,Manual,1500,114685,2023-12-27,2024-05-30,First,10610,5,2,17.60765042,New,Worn Out,New,1
Car,37602,Average,0,4,Electric,Automatic,2000,60053,2023-05-25,2025-01-24,Second,29075,5,1,19.95674289,New,Good,Good,0
Bus,74700,Good,2,3,Diesel,Manual,2000,16727,2023-05-01,2024-06-23,First,21960,4,0,15.16625219,Good,New,Weak,1
Truck,75810,Average,2,9,Petrol,Automatic,800,52486,2023-12-21,2025-11-10,Second,22238,3,2,19.50594406,New,Good,New,0
Van,68278,Average,1,4,Diesel,Automatic,1500,123735,2023-11-06,2025-09-04,Second,22259,10,2,12.92315356,Good,Good,Weak,1
Van,48643,Good,0,5,Electric,Automatic,2500,46393,2023-10-05,2024-08-04,First,24627,2,2,14.73693164,Good,Worn Out,Weak,1
Motorcycle,58830,Good,3,3,Petrol,Automatic,1500,45733,2023-10-13,2025-07-31,First,10101,4,1,13.89482686,Good,Worn Out,New,1
Truck,63922,Good,0,3,Electric,Manual,1000,19791,2023-06-13,2025-07-18,Third,9902,8,1,12.34742826,New,Worn Out,Good,1
Bus,34310,Average,1,7,Petrol,Automatic,2000,46291,2023-09-17,2026-02-28,First,14865,3,3,19.04960534,New,New,New,0
Car,44264,Good,0,10,Diesel,Manual,1500,94550,2023-04-15,2024-05-10,First,28442,2,1,10.88837738,New,New,Good,0
Motorcycle,45408,Poor,0,7,Diesel,Automatic,800,78882,2023-05-15,2024-09-26,Second,22547,5,1,13.77125825,Good,Good,Weak,1
Bus,30869,Poor,1,10,Petrol,Manual,1000,85825,2024-01-29,2025-12-11,Third,25517,3,2,10.9196336,Worn Out,Good,Weak,1
Motorcycle,57171,Average,1,5,Diesel,Manual,2000,59881,2023-04-26,2025-03-08,Third,15704,5,2,12.25992675,New,Good,Weak,1
Truck,56585,Good,1,9,Electric,Manual,1000,65239,2023-05-06,2025-03-18,First,28370,2,1,11.74608205,Good,Good,Weak,1
Van,60255,Good,3,4,Electric,Automatic,800,32753,2023-04-13,2026-01-09,Third,5740,6,0,12.05910921,Worn Out,New,Good,0
Van,79675,Good,0,10,Petrol,Manual,800,36449,2023-12-19,2025-01-21,Second,18924,8,2,19.33026151,Good,Good,Good,1
Van,38257,Good,3,1,Petrol,Automatic,1000,140670,2023-10-08,2024-07-11,Third,11736,6,0,16.64543204,Good,Worn Out,Good,1
Truck,46391,Poor,2,8,Petrol,Manual,2000,110945,2023-08-10,2024-05-17,Second,20329,7,0,14.14161245,Worn Out,New,New,1
Motorcycle,59246,Average,0,4,Petrol,Manual,2500,23820,2023-09-25,2026-01-04,Third,24237,2,1,11.45207583,New,Good,New,0
Truck,43932,Average,5,5,Diesel,Manual,2000,107482,2023-05-27,2025-12-15,Third,15233,1,0,19.82182817,Worn Out,New,New,1
Motorcycle,45288,Average,0,4,Diesel,Manual,1000,6999,2023-06-27,2024-12-08,Third,26886,1,1,10.73805569,Worn Out,New,New,0
Suv,37057,Average,1,6,Petrol,Automatic,800,36448,2024-02-15,2025-04-04,First,24526,3,0,10.38382577,New,New,New,0
Motorcycle,78342,Poor,5,5,Petrol,Automatic,800,12415,2023-04-17,2024-12-02,First,24986,2,3,10.8520369,Good,Worn Out,Weak,1
Bus,63874,Poor,1,10,Petrol,Automatic,2000,143268,2023-06-13,2026-01-13,Second,23748,4,3,14.48840273,New,Worn Out,Good,1
Van,32341,Poor,5,10,Electric,Automatic,1000,134916,2023-12-14,2025-02-27,First,6114,7,3,13.63731805,Good,Worn Out,Good,1
Suv,48333,Poor,0,4,Electric,Automatic,2000,55300,2023-05-21,2025-11-17,Third,27727,7,3,17.36484769,New,New,Good,0
Car,56084,Good,3,7,Electric,Manual,2500,21728,2023-08-31,2025-05-13,Second,24664,6,0,19.96979302,New,New,New,0
Motorcycle,51721,Poor,4,4,Diesel,Manual,1000,40250,2023-10-04,2025-03-17,Third,24409,7,0,14.85544272,Worn Out,New,New,1
Suv,45657,Good,0,10,Diesel,Automatic,2500,131133,2024-01-04,2024-08-25,Third,12648,8,3,15.23914534,New,New,Weak,1
Van,71919,Average,1,8,Diesel,Manual,2000,127646,2023-11-11,2025-09-07,First,22647,5,3,18.05005132,Good,Good,New,0
Van,34516,Poor,2,9,Petrol,Manual,1000,126138,2023-05-04,2025-05-25,Second,15459,10,0,14.8213754,Good,New,Good,1
Truck,34263,Average,0,5,Electric,Automatic,2500,57088,2023-08-03,2025-12-23,Second,10057,7,3,11.94128056,Worn Out,New,Weak,1
Bus,45558,Good,0,5,Petrol,Automatic,1000,62400,2023-12-02,2025-10-03,Second,10161,5,3,10.79643574,Good,Good,Good,0
Truck,65340,Poor,3,8,Diesel,Automatic,1500,45131,2023-12-10,2024-12-28,First,5985,3,2,15.35499707,New,Worn Out,Good,1
Van,53495,Good,5,7,Electric,Manual,800,118974,2023-04-05,2025-06-25,Second,23526,7,1,11.0899712,Good,New,New,1
Van,62244,Average,3,8,Diesel,Automatic,2500,125677,2024-02-20,2026-02-20,Second,11532,4,2,13.36872744,New,Worn Out,Good,1
Car,50708,Average,2,4,Diesel,Automatic,1000,95183,2023-08-21,2025-06-28,Third,17227,6,0,12.25446343,Worn Out,Worn Out,Good,1
Motorcycle,33607,Average,1,2,Electric,Manual,800,94372,2023-11-21,2026-03-16,Third,18808,10,0,10.11896998,Good,Good,New,0
Van,52172,Good,5,4,Petrol,Automatic,800,74383,2024-02-20,2024-06-29,First,26620,9,2,17.23280268,Worn Out,Worn Out,Good,1
Bus,37080,Poor,2,6,Petrol,Manual,1000,107322,2023-09-15,2024-12-21,First,12952,8,3,11.76611478,New,Worn Out,Good,1
Car,39897,Poor,4,4,Petrol,Manual,2500,147811,2023-04-11,2024-11-20,Second,16300,7,2,17.19230398,New,New,Good,1
Bus,44368,Good,1,10,Diesel,Automatic,2500,118151,2023-07-23,2024-12-11,Second,26962,6,1,19.7260896,Good,Worn Out,Good,1
Motorcycle,42359,Good,1,2,Petrol,Automatic,800,71762,2023-11-19,2024-12-29,Second,5210,4,1,10.13645265,Worn Out,New,New,0
Van,39125,Poor,0,3,Diesel,Manual,1500,31752,2023-06-25,2026-01-05,Second,12275,3,1,12.7281621,Worn Out,Worn Out,Good,1
Motorcycle,48301,Poor,4,4,Diesel,Manual,800,13273,2023-04-02,2024-08-17,Third,18818,4,1,13.63765034,Good,Good,Good,1
Motorcycle,76091,Poor,3,10,Petrol,Automatic,2000,116649,2023-10-02,2025-02-08,Third,8396,2,1,19.18215057,New,Worn Out,New,1
Suv,30729,Good,3,4,Petrol,Automatic,1000,99898,2024-01-25,2026-03-13,Third,7972,2,0,13.09243276,Good,Worn Out,Weak,1
