OBD_Code,Description,Description_Length,Prefix
P22FF,SCR NOx Catalyst Inlet Temperature Too Low,42,P2
P2300,Ignition Coil A Primary Control Circuit Low,43,P2
P2301,Ignition Coil A Primary Control Circuit High,44,P2
P2302,Ignition Coil A Secondary Circuit,33,P2
P2303,Ignition Coil B Primary Control Circuit Low,43,P2
P2304,Ignition Coil B Primary Control Circuit High,44,P2
P2305,Ignition Coil B Secondary Circuit,33,P2
P2306,Ignition Coil C Primary Control Circuit Low,43,P2
P2307,Ignition Coil C Primary Control Circuit High,44,P2
P2308,Ignition Coil C Secondary Circuit,33,P2
P2309,Ignition Coil D Primary Control Circuit Low,43,P2
P230A,Cylinder 1 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P230B,Cylinder 2 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P230C,Cylinder 3 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P230D,Cylinder 4 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P230E,Cylinder 5 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P230F,Cylinder 6 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P2310,Ignition Coil D Primary Control Circuit High,44,P2
P2311,Ignition Coil D Secondary Circuit,33,P2
P2312,Ignition Coil E Primary Control Circuit Low,43,P2
P2313,Ignition Coil E Primary Control Circuit High,44,P2
P2314,Ignition Coil E Secondary Circuit,33,P2
P2315,Ignition Coil F Primary Control Circuit Low,43,P2
P2316,Ignition Coil F Primary Control Circuit High,44,P2
P2317,Ignition Coil F Secondary Circuit,33,P2
P2318,Ignition Coil G Primary Control Circuit Low,43,P2
P2319,Ignition Coil G Primary Control Circuit High,44,P2
P231A,Cylinder 7 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P231B,Cylinder 8 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P231C,Cylinder 9 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,72,P2
P231D,Cylinder 10 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,73,P2
P231E,Cylinder 11 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,73,P2
P231F,Cylinder 12 Air-Fuel Ratio Imbalance - Adjustment At Limit During Balance,73,P2
P2320,Ignition Coil G Secondary Circuit,33,P2
P2321,Ignition Coil H Primary Control Circuit Low,43,P2
P2322,Ignition Coil H Primary Control Circuit High,44,P2
P2323,Ignition Coil H Secondary Circuit,33,P2
P2324,Ignition Coil I Primary Control Circuit Low,43,P2
P2325,Ignition Coil I Primary Control Circuit High,44,P2
P2326,Ignition Coil I Secondary Circuit,33,P2
P2327,Ignition Coil J Primary Control Circuit Low,43,P2
P2328,Ignition Coil J Primary Control Circuit High,44,P2
P2329,Ignition Coil J Secondary Circuit,33,P2
P232A,TCM Request - Forced Engine Shutdown,36,P2
P232B,Cylinder 11 Fuel Injector A Offset Learning At Min Limit,56,P2
P232C,Cylinder 11 Fuel Injector A Offset Learning At Max Limit,56,P2
P232D,Cylinder 12 Fuel Injector A Offset Learning At Min Limit,56,P2
P232E,Cylinder 12 Fuel Injector A Offset Learning At Max Limit,56,P2
P232F,O2 Sensor Out of Range During Deceleration Bank 1 Sensor 2,58,P2
P2330,Ignition Coil K Primary Control Circuit Low,43,P2
P2331,Ignition Coil K Primary Control Circuit High,44,P2
P2332,Ignition Coil K Secondary Circuit,33,P2
P2333,Ignition Coil L Primary Control Circuit Low,43,P2
P2334,Ignition Coil L Primary Control Circuit High,44,P2
P2335,Ignition Coil L Secondary Circuit,33,P2
P2336,Cylinder 1 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2337,Cylinder 2 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2338,Cylinder 3 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2339,Cylinder 4 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P233A,Fuel Pressure Regulator C Control Circuit/Open,46,P2
P233B,Fuel Pressure Regulator C Control Circuit Low,45,P2
P233C,Fuel Pressure Regulator C Control Circuit High,46,P2
P233D,Fuel Pressure Regulator B Solenoid Supply Voltage Control Circuit/Open,70,P2
P233E,Fuel Pressure Regulator B Solenoid Supply Voltage Control Circuit Low,69,P2
P233F,Fuel Pressure Regulator B Solenoid Supply Voltage Control Circuit High,70,P2
P2340,Cylinder 5 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2341,Cylinder 6 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2342,Cylinder 7 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2343,Cylinder 8 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2344,Cylinder 9 Above Knock/Combustion Vibration Sensor Threshold,60,P2
P2345,Cylinder 10 Above Knock/Combustion Vibration Sensor Threshold,61,P2
P2346,Cylinder 11 Above Knock/Combustion Vibration Sensor Threshold,61,P2
P2347,Cylinder 12 Above Knock/Combustion Vibration Sensor Threshold,61,P2
P2348,Cylinder 9 Pressure Sensor Circuit,34,P2
P2349,Cylinder 9 Pressure Sensor Circuit Range/Performance,52,P2
P234A,Cylinder 9 Pressure Sensor Circuit Low,38,P2
P234B,Cylinder 9 Pressure Sensor Circuit High,39,P2
P234C,Cylinder 9 Pressure Sensor Circuit Intermittent/Erratic,55,P2
P234D,Cylinder 9 Pressure Too Low,27,P2
P234E,Cylinder 9 Pressure Too High,28,P2
P234F,Cylinder 9 Pressure Variation Low,33,P2
P2350,Cylinder 9 Pressure Variation High,34,P2
P2351,Cylinder 9 Combustion Performance,33,P2
P2352,Cylinder 10 Pressure Sensor Circuit,35,P2
P2353,Cylinder 10 Pressure Sensor Circuit Range/Performance,53,P2
P2354,Cylinder 10 Pressure Sensor Circuit Low,39,P2
P2355,Cylinder 10 Pressure Sensor Circuit High,40,P2
P2356,Cylinder 10 Pressure Sensor Circuit Intermittent/Erratic,56,P2
P2357,Cylinder 10 Pressure Too Low,28,P2
P2358,Cylinder 10 Pressure Too High,29,P2
P2359,Cylinder 10 Pressure Variation Low,34,P2
P235A,Cylinder 10 Pressure Variation High,35,P2
P235B,Cylinder 10 Combustion Performance,34,P2
P235C,Cylinder 11 Pressure Sensor Circuit,35,P2
P235D,Cylinder 11 Pressure Sensor Circuit Range/Performance,53,P2
P235E,Cylinder 11 Pressure Sensor Circuit Low,39,P2
P235F,Cylinder 11 Pressure Sensor Circuit High,40,P2
P2360,Cylinder 11 Pressure Sensor Circuit Intermittent/Erratic,56,P2
P2361,Cylinder 11 Pressure Too Low,28,P2
P2362,Cylinder 11 Pressure Too High,29,P2
P2363,Cylinder 11 Pressure Variation Low,34,P2
P2364,Cylinder 11 Pressure Variation High,35,P2
P2365,Cylinder 11 Combustion Performance,34,P2
P2366,Cylinder 12 Pressure Sensor Circuit,35,P2
P2367,Cylinder 12 Pressure Sensor Circuit Range/Performance,53,P2
P2368,Cylinder 12 Pressure Sensor Circuit Low,39,P2
P2369,Cylinder 12 Pressure Sensor Circuit High,40,P2
P236A,Cylinder 12 Pressure Sensor Circuit Intermittent/Erratic,56,P2
P236B,Cylinder 12 Pressure Too Low,28,P2
P236C,Cylinder 12 Pressure Too High,29,P2
P236D,Cylinder 12 Pressure Variation Low,34,P2
P236E,Cylinder 12 Pressure Variation High,35,P2
P236F,Cylinder 12 Combustion Performance,34,P2
P2370,Fuel Volume Regulator B Control Circuit/Open,44,P2
P2371,Fuel Volume Regulator B Control Circuit Performance,51,P2
P2372,Fuel Volume Regulator B Control Circuit Low,43,P2
P2373,Fuel Volume Regulator B Control Circuit High,44,P2
P2374,Turbocharger/Supercharger Inlet Pressure Sensor B Circuit,57,P2
P2375,Turbocharger/Supercharger Inlet Pressure Sensor B Circuit Range/Performance,75,P2
P2376,Turbocharger/Supercharger Inlet Pressure Sensor B Circuit Low,61,P2
P2377,Turbocharger/Supercharger Inlet Pressure Sensor B Circuit High,62,P2
P2378,Turbocharger/Supercharger Inlet Pressure Sensor B Circuit Intermittent/Erratic,78,P2
P2379,O2 Sensor Out of Range During Deceleration Bank 2 Sensor 2,58,P2
P237A,O2 Sensor Exhaust Sample Error Bank 1 Sensor 2,46,P2
P237B,O2 Sensor Exhaust Sample Error Bank 2 Sensor 2,46,P2
P237C,Exhaust Heat Exchanger Exhaust Bypass Valve A Control Circuit/Open,66,P2
P237D,Exhaust Heat Exchanger Exhaust Bypass Valve A Control Circuit Low,65,P2
P237E,Exhaust Heat Exchanger Exhaust Bypass Valve A Control Circuit High,66,P2
P237F,Exhaust Heat Exchanger Exhaust Bypass Valve A Control Performance,65,P2
P2380,EGR Sensor D Circuit,20,P2
P2381,EGR Sensor D Circuit High,25,P2
P2382,EGR Sensor D Circuit Low,24,P2
P2383,EGR Sensor D Circuit Range/Performance,38,P2
P2384,EGR Sensor D Circuit Intermittent,33,P2
P2385,EGR Sensor E Circuit,20,P2
P2386,EGR Sensor E Circuit High,25,P2
P2387,EGR Sensor E Circuit Low,24,P2
P2388,EGR Sensor E Circuit Range/Performance,38,P2
P2389,EGR Sensor E Circuit Intermittent,33,P2
P238A,Water in Fuel Sensor B Circuit,30,P2
P238B,Water in Fuel Sensor B Circuit Range/Performance,48,P2
P238C,Water in Fuel Sensor B Circuit Low,34,P2
P238D,Water in Fuel Sensor B Circuit High,35,P2
P238E,Water in Fuel Sensor B Circuit Intermittent,43,P2
P238F,Water in Fuel Condition - Sensor B,34,P2
P2390,Diesel Intake Air Flow B Control Circuit/Open,45,P2
P2391,Diesel Intake Air Flow B Control Performance,44,P2
P2392,Diesel Intake Air Flow B Control Circuit Low,44,P2
P2393,Diesel Intake Air Flow B Control Circuit High,45,P2
P2394,Diesel Intake Air Flow B Control Stuck Open,43,P2
P2395,Diesel Intake Air Flow B Control Stuck Closed,45,P2
P2396,Diesel Intake Air Flow B Position Sensor Circuit,48,P2
P2397,Diesel Intake Air Flow B Position Sensor Range/Performance,58,P2
P2398,Diesel Intake Air Flow B Position Sensor Circuit Low,52,P2
P2399,Diesel Intake Air Flow B Position Sensor Circuit High,53,P2
P239A,Diesel Intake Air Flow B Position Sensor Circuit Intermittent/Erratic,69,P2
P239B,Diesel Intake Air Flow B Control Motor Current Range/Performance,64,P2
P239C,Diesel Intake Air Flow B Control System - High Air Flow Detected,64,P2
P239D,Diesel Intake Air Flow B Control System - Low Air Flow Detected,63,P2
P239E,O2 Sensor Out of Range During Deceleration Bank 1 Sensor 2,58,P2
P239F,O2 Sensor Out of Range During Deceleration Bank 2 Sensor 2,58,P2
P23A0,O2 Sensor Exhaust Sample Error Bank 1 Sensor 2,46,P2
P23A1,O2 Sensor Exhaust Sample Error Bank 2 Sensor 2,46,P2
P23A2,Exhaust Heat Exchanger Exhaust Bypass Valve B Control Circuit/Open,66,P2
P23A3,Exhaust Heat Exchanger Exhaust Bypass Valve B Control Circuit Low,65,P2
P23A4,Exhaust Heat Exchanger Exhaust Bypass Valve B Control Circuit High,66,P2
P23A5,Exhaust Heat Exchanger Exhaust Bypass Valve B Control Performance,65,P2
P23A6,Exhaust Heat Exchanger Exhaust Bypass Valve B Stuck Open,56,P2
P23A7,Exhaust Heat Exchanger Exhaust Bypass Valve B Stuck Closed,58,P2
P23A8,Exhaust Heat Exchanger Exhaust Bypass Valve B Position Sensor Stop Performance,78,P2
P23A9,Communication Fault – Forced Engine Shutdown,44,P2
P23AA,Turbocharger/Supercharger Bypass Valve A Stuck,46,P2
P23AB,NOx Sensor Processor Performance Bank 1 Sensor 3,48,P2
P23AC,NOx Sensor Circuit Bank 1 Sensor 3,34,P2
P23AD,NOx Sensor Circuit Range/Performance Bank 1 Sensor 3,52,P2
P23AE,NOx Sensor Circuit Low Bank 1 Sensor 3,38,P2
P23AF,NOx Sensor Circuit High Bank 1 Sensor 3,39,P2
P23B0,NOx Sensor Circuit Intermittent Bank 1 Sensor 3,47,P2
P23B1,NOx Sensor Heater Control Circuit/Open Bank 1 Sensor 3,54,P2
P23B2,NOx Sensor Heater Control Circuit Low Bank 1 Sensor 3,53,P2
P23B3,NOx Sensor Heater Control Circuit High Bank 1 Sensor 3,54,P2
P23B4,NOx Sensor Heater Sense Circuit Bank 1 Sensor 3,47,P2
P23B5,NOx Sensor Heater Sense Circuit Range/Performance Bank 1 Sensor 3,65,P2
P23B6,NOx Sensor Supply Voltage Circuit Bank 1 Sensor 3,49,P2
P23B7,NOx Sensor Heater Control Circuit Range/Performance Bank 1 Sensor 3,67,P2
P23B8,NOx Sensor Heater Sense Circuit Low Bank 1 Sensor 3,51,P2
P23B9,NOx Sensor Heater Sense Circuit High Bank 1 Sensor 3,52,P2
P23BA,NOx Sensor Heater Sense Circuit Intermittent Bank 1 Sensor 3,60,P2
P23BB,NOx Sensor Heater Resistance Bank 1 Sensor 3,44,P2
P23BC,NOx Sensor Calibration Memory Bank 1 Sensor 3,45,P2
P23BD,NOx Sensor Performance - Signal Biased/Stuck High Bank 1 Sensor 3,65,P2
P23BE,NOx Sensor Performance - Signal Biased/Stuck Low Bank 1 Sensor 3,64,P2
P23BF,NOx Sensor Performance - Slow Response Low to High Bank 1 Sensor 3,66,P2
P23C0,NOx Sensor Performance - Slow Response High to Low Bank 1 Sensor 3,66,P2
P23C1,NOx Sensor Performance - Sensing Element Bank 1 Sensor 3,56,P2
P23C2,NOx Sensor Delayed Response - High to Low Bank 1 Sensor 3,57,P2
P23C3,Engine Coolant Bypass Valve C Position Sensor Circuit,53,P2
P23C4,Engine Coolant Bypass Valve C Position Sensor Circuit Low,57,P2
P23C5,Engine Coolant Bypass Valve C Position Sensor Circuit High,58,P2
P23C6,Engine Coolant Bypass Valve C Control Circuit Driver Current/Temperature Too High,81,P2
P23C7,Fuel Heater Control Module Power Control Circuit/Open,53,P2
P23C8,Fuel Heater Control Module Power Control Circuit Low,52,P2
P23C9,Fuel Heater Control Module Power Control Circuit High,53,P2
P23CA,Fuel Rail Heater Control Circuit/Open,37,P2
P23CB,Fuel Rail Heater Control Circuit Low,36,P2
P23CC,Fuel Rail Heater Control Circuit High,37,P2
P23CD,Fuel Heater Control Module Feedback Signal/Open,47,P2
P23CE,Fuel Heater Control Module Feedback Signal Performance,54,P2
P23CF,Fuel Heater Control Module Feedback Signal Circuit Low,54,P2
P23D0,Fuel Heater Control Module Feedback Signal Circuit High,55,P2
P23D1,Cylinder 1 Fuel Heater Control Circuit/Open,43,P2
P23D2,Cylinder 1 Fuel Heater Control Circuit High,43,P2
P23D3,Cylinder 1 Fuel Heater Control Circuit Low,42,P2
P23D4,Cylinder 1 Fuel Heater Performance,34,P2
P23D5,Cylinder 2 Fuel Heater Control Circuit/Open,43,P2
P23D6,Cylinder 2 Fuel Heater Control Circuit High,43,P2
P23D7,Cylinder 2 Fuel Heater Control Circuit Low,42,P2
P23D8,Cylinder 2 Fuel Heater Performance,34,P2
P23D9,Cylinder 3 Fuel Heater Control Circuit/Open,43,P2
P23DA,Cylinder 3 Fuel Heater Control Circuit High,43,P2
P23DB,Cylinder 3 Fuel Heater Control Circuit Low,42,P2
P23DC,Cylinder 3 Fuel Heater Performance,34,P2
P23DD,Cylinder 4 Fuel Heater Control Circuit/Open,43,P2
P23DE,Cylinder 4 Fuel Heater Control Circuit High,43,P2
P23DF,Cylinder 4 Fuel Heater Control Circuit Low,42,P2
P23E0,Cylinder 4 Fuel Heater Performance,34,P2
P23E1,EGR C Control Circuit/Open,26,P2
P23E2,EGR C Control Circuit Performance,33,P2
P23E3,EGR C Control Circuit Low,25,P2
P23E4,EGR C Control Circuit High,26,P2
P23E5,EGR C Control Stuck Open,24,P2
P23E6,EGR C Control Stuck Closed,26,P2
P23E7,EGR C Flow Insufficient Detected,32,P2
P23E8,EGR C Flow Excessive Detected,29,P2
P23E9,Camshaft A Position Signal Output Circuit/Open Bank 2,53,P2
P23EA,Camshaft A Position Signal Output Circuit Low Bank 2,52,P2
P23EB,Camshaft A Position Signal Output Circuit High Bank 2,53,P2
P23EC,Camshaft B Position Signal Output Circuit/Open Bank 1,53,P2
P23ED,Camshaft B Position Signal Output Circuit Low Bank 1,52,P2
P23EE,Camshaft B Position Signal Output Circuit High Bank 1,53,P2
P23EF,Camshaft B Position Signal Output Circuit/Open Bank 2,53,P2
P23F0,Camshaft B Position Signal Output Circuit Low Bank 2,52,P2
P23F1,Camshaft B Position Signal Output Circuit High Bank 2,53,P2
P23F2,Cylinder 1 Injector B Air-Fuel Ratio Imbalance,46,P2
P23F3,Cylinder 2 Injector B Air-Fuel Ratio Imbalance,46,P2
P23F4,Cylinder 3 Injector B Air-Fuel Ratio Imbalance,46,P2
P23F5,Cylinder 4 Injector B Air-Fuel Ratio Imbalance,46,P2
P23F6,Cylinder 5 Injector B Air-Fuel Ratio Imbalance,46,P2
P23F7,Cylinder 6 Injector B Air-Fuel Ratio Imbalance,46,P2
P23F8,Cylinder 7 Injector B Air-Fuel Ratio Imbalance,46,P2
P23F9,Cylinder 8 Injector B Air-Fuel Ratio Imbalance,46,P2
P23FA,Cylinder 9 Injector B Air-Fuel Ratio Imbalance,46,P2
P23FB,Cylinder 10 Injector B Air-Fuel Ratio Imbalance,47,P2
P23FC,Cylinder 11 Injector B Air-Fuel Ratio Imbalance,47,P2
P23FD,Cylinder 12 Injector B Air-Fuel Ratio Imbalance,47,P2
P23FE,Bank 1 System B Air-Fuel Ratio Imbalance,40,P2
P23FF,Bank 2 System B Air-Fuel Ratio Imbalance,40,P2
P2400,EVAP System Leak Detection Pump Control Circuit/Open,52,P2
P2401,EVAP System Leak Detection Pump Control Circuit Low,51,P2
P2402,EVAP System Leak Detection Pump Control Circuit High,52,P2
P2403,EVAP System Leak Detection Pump Sense Circuit/Open,50,P2
P2404,EVAP System Leak Detection Pump Sense Circuit Range/Performance,63,P2
P2405,EVAP System Leak Detection Pump Sense Circuit Low,49,P2
P2406,EVAP System Leak Detection Pump Sense Circuit High,50,P2
P2407,EVAP System Leak Detection Pump Sense Circuit Intermittent/Erratic,66,P2
P2408,Fuel Cap Sensor/Switch Circuit,30,P2
P2409,Fuel Cap Sensor/Switch Circuit Range/Performance,48,P2
P240A,EVAP System Leak Detection Pump Heater Control Circuit/Open,59,P2
P240B,EVAP System Leak Detection Pump Heater Control Circuit Low,58,P2
P240C,EVAP System Leak Detection Pump Heater Control Circuit High,59,P2
P240D,Alternative Fuel Low Pressure System Leak,41,P2
P240E,Alternative Fuel High Pressure System Leak,42,P2
P240F,EGR Slow Response,17,P2
P2410,Fuel Cap Sensor/Switch Circuit Low,34,P2
P2411,Fuel Cap Sensor/Switch Circuit High,35,P2
P2412,Fuel Cap Sensor/Switch Circuit Intermittent/Erratic,51,P2
P2413,EGR System Performance,22,P2
P2414,O2 Sensor Exhaust Sample Error Bank 1 Sensor 1,46,P2
P2415,O2 Sensor Exhaust Sample Error Bank 2 Sensor 1,46,P2
P2416,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 1 Sensor 3,57,P2
P2417,O2 Sensor Signals Swapped Bank 2 Sensor 2/Bank 2 Sensor 3,57,P2
P2418,EVAP System Switching Valve Control Circuit/Open,48,P2
P2419,EVAP System Switching Valve Control Circuit Low,47,P2
P241A,O2 Sensor Signals Swapped Bank 1 Sensor 1/Bank 1 Sensor 2,57,P2
P241B,O2 Sensor Signals Swapped Bank 2 Sensor 1/Bank 2 Sensor 2,57,P2
P241C,Throttle Actuator Control System - Ice Blockage Bank 2,54,P2
P241D,SCR Inducement - Forced Engine Shutdown,39,P2
P241E,Reductant Heater Coolant Control Valve Stuck Closed,51,P2
P241F,EGR Cooler B Efficiency Below Threshold,39,P2
P2420,EVAP System Switching Valve Control Circuit High,48,P2
P2421,EVAP System Vent Valve Stuck Open,33,P2
P2422,EVAP System Vent Valve Stuck Closed,35,P2
P2423,HC Adsorption Catalyst Efficiency Below Threshold Bank 1,56,P2
P2424,HC Adsorption Catalyst Efficiency Below Threshold Bank 2,56,P2
P2425,EGR Cooling Valve Control Circuit/Open,38,P2
P2426,EGR Cooling Valve Control Circuit Low,37,P2
P2427,EGR Cooling Valve Control Circuit High,38,P2
P2428,Exhaust Gas Temperature Too High Bank 1,39,P2
P2429,Exhaust Gas Temperature Too High Bank 2,39,P2
P242A,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 3,54,P2
P242B,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 3,72,P2
P242C,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 3,58,P2
P242D,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 3,59,P2
P242E,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 3,75,P2
P242F,Particulate Filter Restriction - Ash Accumulation Bank 1,56,P2
P2430,AIR System Air Flow/Pressure Sensor Circuit Bank 1,50,P2
P2431,AIR System Air Flow/Pressure Sensor Circuit Range/Performance Bank 1,68,P2
P2432,AIR System Air Flow/Pressure Sensor Circuit Low Bank 1,54,P2
P2433,AIR System Air Flow/Pressure Sensor Circuit High Bank 1,55,P2
P2434,AIR System Air Flow/Pressure Sensor Circuit Intermittent/Erratic Bank 1,71,P2
P2435,AIR System Air Flow/Pressure Sensor Circuit Bank 2,50,P2
P2436,AIR System Air Flow/Pressure Sensor Circuit Range/Performance Bank 2,68,P2
P2437,AIR System Air Flow/Pressure Sensor Circuit Low Bank 2,54,P2
P2438,AIR System Air Flow/Pressure Sensor Circuit High Bank 2,55,P2
P2439,AIR System Air Flow/Pressure Sensor Circuit Intermittent/Erratic Bank 2,71,P2
P243A,Particulate Filter Restriction - Ash Accumulation Bank 2,56,P2
P243B,Particulate Filter Restriction - Forced Limited Power Bank 2,60,P2
P243C,Particulate Filter Regeneration Frequency Bank 2,48,P2
P243D,Particulate Filter Regeneration Duration Bank 2,47,P2
P243E,Particulate Filter Regeneration Incomplete Bank 2,49,P2
P243F,Particulate Filter Restriction - Soot Accumulation Too High Bank 2,66,P2
P2440,AIR System Switching Valve Stuck Open Bank 1,44,P2
P2441,AIR System Switching Valve Stuck Closed Bank 1,46,P2
P2442,AIR System Switching Valve Stuck Open Bank 2,44,P2
P2443,AIR System Switching Valve Stuck Closed Bank 2,46,P2
P2444,AIR System Pump Stuck On Bank 1,31,P2
P2445,AIR System Pump Stuck Off Bank 1,32,P2
P2446,AIR System Pump Stuck On Bank 2,31,P2
P2447,AIR System Pump Stuck Off Bank 2,32,P2
P2448,AIR System High Air Flow Bank 1,31,P2
P2449,AIR System High Air Flow Bank 2,31,P2
P244A,Particulate Filter Differential Pressure Too Low Bank 1,55,P2
P244B,Particulate Filter Differential Pressure Too High Bank 1,56,P2
P244C,Exhaust Temperature Too Low For Particulate Filter Regeneration Bank 1,70,P2
P244D,Exhaust Temperature Too High For Particulate Filter Regeneration Bank 1,71,P2
P244E,Exhaust Temperature Too Low For Particulate Filter Regeneration Bank 2,70,P2
P244F,Exhaust Temperature Too High For Particulate Filter Regeneration Bank 2,71,P2
P2450,EVAP System Switching Valve Performance/Stuck Open,50,P2
P2451,EVAP System Switching Valve Stuck Closed,40,P2
P2452,Particulate Filter Pressure Sensor A Circuit,44,P2
P2453,Particulate Filter Pressure Sensor A Circuit Range/Performance,62,P2
P2454,Particulate Filter Pressure Sensor A Circuit Low,48,P2
P2455,Particulate Filter Pressure Sensor A Circuit High,49,P2
P2456,Particulate Filter Pressure Sensor A Circuit Intermittent/Erratic,65,P2
P2457,EGR Cooler A Efficiency Below Threshold,39,P2
P2458,Particulate Filter Regeneration Duration Bank 1,47,P2
P2459,Particulate Filter Regeneration Frequency Bank 1,48,P2
P245A,EGR Cooler Bypass Control Circuit/Open Bank 1,45,P2
P245B,EGR Cooler Bypass Control Circuit Range/Performance Bank 1,58,P2
P245C,EGR Cooler Bypass Control Circuit Low Bank 1,44,P2
P245D,EGR Cooler Bypass Control Circuit High Bank 1,45,P2
P245E,Particulate Filter Pressure Sensor B Circuit,44,P2
P245F,Particulate Filter Pressure Sensor B Circuit Range/Performance,62,P2
P2460,Particulate Filter Pressure Sensor B Circuit Low,48,P2
P2461,Particulate Filter Pressure Sensor B Circuit High,49,P2
P2462,Particulate Filter Pressure Sensor B Circuit Intermittent/Erratic,65,P2
P2463,Particulate Filter Restriction - Soot Accumulation Bank 1,57,P2
P2464,Particulate Filter Differential Pressure Too Low Bank 2,55,P2
P2465,Particulate Filter Differential Pressure Too High Bank 2,56,P2
P2466,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 3,54,P2
P2467,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 3,72,P2
P2468,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 3,58,P2
P2469,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 3,59,P2
P246A,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 3,75,P2
P246B,Vehicle Conditions Incorrect for Particulate Filter Regeneration,64,P2
P246C,Particulate Filter Restriction - Forced Limited Power Bank 1,60,P2
P246D,Particulate Filter Pressure Sensor A/B Correlation,50,P2
P246E,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 4,54,P2
P246F,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 4,72,P2
P2470,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 4,58,P2
P2471,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 4,59,P2
P2472,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 4,75,P2
P2473,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 4,54,P2
P2474,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 4,72,P2
P2475,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 4,58,P2
P2476,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 4,59,P2
P2477,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 4,75,P2
P2478,Exhaust Gas Temperature Out of Range Bank 1 Sensor 1,52,P2
P2479,Exhaust Gas Temperature Out of Range Bank 1 Sensor 2,52,P2
P247A,Exhaust Gas Temperature Out of Range Bank 1 Sensor 3,52,P2
P247B,Exhaust Gas Temperature Out of Range Bank 1 Sensor 4,52,P2
P247C,Exhaust Gas Temperature Out of Range Bank 2 Sensor 1,52,P2
P247D,Exhaust Gas Temperature Out of Range Bank 2 Sensor 2,52,P2
P247E,Exhaust Gas Temperature Out of Range Bank 2 Sensor 3,52,P2
P247F,Exhaust Gas Temperature Out of Range Bank 2 Sensor 4,52,P2
P2480,Exhaust Gas Temperature Sensor Circuit/Open Bank 1 Sensor 5,59,P2
P2481,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 5,58,P2
P2482,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 5,59,P2
P2483,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 5,72,P2
P2484,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 5,75,P2
P2485,Exhaust Gas Temperature Sensor Circuit/Open Bank 2 Sensor 5,59,P2
P2486,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 5,58,P2
P2487,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 5,59,P2
P2488,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 5,72,P2
P2489,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 5,75,P2
P248A,Reductant Heater A Sense Circuit Low,36,P2
P248B,Reductant Heater A Sense Circuit High,37,P2
P248C,Reductant Heater B Sense Circuit Low,36,P2
P248D,Reductant Heater B Sense Circuit High,37,P2
